Transaction,Project No,Branch,Manager,Type,Cost,Document type
24-Sep-12,P1084,6060,JMOLLOY,CI,130.18,CV
24-Sep-12,P1084,6060,JMOLLOY,CI,170,CV
24-Sep-12,P1084,6060,JMOLLOY,CI,46.36,CV
14-Nov-12,P1084,6060,JMOLLOY,CI,30,CV
14-Nov-12,P1084,6060,JMOLLOY,CI,40.09,CV
14-Nov-12,P1084,6060,JMOLLOY,CI,179.09,CV
20-Dec-12,P1084,6060,JMOLLOY,CI,108.73,CV
27-Feb-13,P1084,6060,JMOLLOY,CI,33.38,CV
27-Feb-13,P1084,6060,JMOLLOY,CI,24.18,CV
27-Feb-13,P1084,6060,JMOLLOY,PY,784,TS
27-Feb-13,P1084,6060,JMOLLOY,PY,588,TS
13-Mar-13,P1084,6060,JMOLLOY,PY,245,TS
4-Apr-12,P1084,6060,JMOLLOY,CI,150,CV
4-Apr-12,P1084,6060,JMOLLOY,CI,90,CV
4-Apr-12,P1084,6060,JMOLLOY,CI,90,CV
4-Apr-12,P1084,6060,JMOLLOY,CI,15,CV
13-Apr-12,P1084,6060,JMOLLOY,PP,100,PO
13-Apr-12,P1084,6060,JMOLLOY,PP,180,PO
13-Apr-12,P1084,6060,JMOLLOY,PP,10,PO
29-Apr-12,P1084,6060,JMOLLOY,PP,223.12,PO
29-Apr-12,P1084,6060,JMOLLOY,PP,-11.2,PO
29-Apr-12,P1084,6060,JMOLLOY,PP,892.48,PO
29-Apr-12,P1084,6060,JMOLLOY,PP,112.24,PO
29-Apr-12,P1084,6060,JMOLLOY,PP,20.48,PO
29-Apr-12,P1084,6060,JMOLLOY,PP,3.84,PO
29-Apr-12,P1084,6060,JMOLLOY,PP,62.48,PO
29-Apr-12,P1084,6060,JMOLLOY,PP,-50.4,PO
2-May-12,P1084,6060,JMOLLOY,PP,892.48,PO
2-May-12,P1084,6060,JMOLLOY,PP,84.18,PO
2-May-12,P1084,6060,JMOLLOY,PP,20.48,PO
2-May-12,P1084,6060,JMOLLOY,PP,2.88,PO
2-May-12,P1084,6060,JMOLLOY,PP,62.48,PO
2-May-12,P1084,6060,JMOLLOY,PP,-49,PO
11-May-12,P1084,6060,JMOLLOY,PP,892.48,PO
11-May-12,P1084,6060,JMOLLOY,PP,28.06,PO
11-May-12,P1084,6060,JMOLLOY,PP,20.48,PO
11-May-12,P1084,6060,JMOLLOY,PP,0.96,PO
11-May-12,P1084,6060,JMOLLOY,PP,62.48,PO
11-May-12,P1084,6060,JMOLLOY,PP,-46.2,PO
